date,open,high,low,close,volume,cnt_ai,cnt_war,avg_tone,return,log_return
2020-09-30,10.0,11.41,9.11,9.5,338584400,22.0,337970.0,-1.6979207420418652,,
2020-10-01,9.69,10.1,9.23,9.46,124297600,15.0,371333.0,-1.6364801775803997,-0.004210526315789331,-0.004219415542708216
2020-10-02,9.06,9.28,8.94,9.2,55018300,2.0,343472.0,-1.830585951163626,-0.02748414376321373,-0.027868899008792525
2020-10-05,9.43,9.49,8.92,9.03,36316900,30.0,257184.0,-1.5543414999187553,-0.018478260869565166,-0.018651116626100528
2020-10-06,9.04,10.18,8.9,9.9,90864000,22.0,298113.0,-1.669587237725864,0.09634551495016619,0.09198238971165029
2020-10-07,10.04,10.49,9.99,10.0,54672400,1.0,303918.0,-1.6436204294414394,0.010101010101010166,0.010050335853501569
2020-10-08,10.29,10.4,9.99,10.0,34989200,16.0,310745.0,-1.6634338902278405,0.0,0.0
2020-10-09,10.13,10.19,9.89,9.95,19653500,0.0,172944.0,-1.804427907878024,-0.0050000000000001155,-0.005012541823544492
2020-10-12,10.04,10.05,9.66,9.89,20623600,3.0,243459.0,-1.4950410606028457,-0.0060301507537686705,-0.006048405535880708
2020-10-13,9.88,9.88,9.41,9.47,21847200,45.0,290972.0,-1.5980823843890082,-0.04246713852376138,-0.04339523843663384
2020-10-14,9.6,9.66,9.29,9.34,13652600,15.0,277305.0,-1.5682011612629785,-0.013727560718057141,-0.01382265495723578
2020-10-15,9.27,9.91,9.18,9.91,12924100,6.0,261887.0,-1.52995893403945,0.06102783725910066,0.05923809610114539
2020-10-16,9.94,9.95,9.66,9.71,11142500,1.0,118414.0,-1.5698318696988314,-0.020181634712411634,-0.020388066038663055
2020-10-19,9.79,9.82,9.53,9.57,9126400,14.0,235786.0,-1.5908585055746851,-0.014418125643666402,-0.014523076838370397
2020-10-20,9.6,9.66,9.27,9.27,11138200,6.0,276690.0,-1.514816128227374,-0.031347962382445194,-0.03184982588709939
2020-10-21,9.3,9.48,9.2,9.2,9190000,8.0,269934.0,-1.62328223211622,-0.007551240560949357,-0.007579895522769053
2020-10-22,9.37,9.75,9.22,9.68,17928600,8.0,239646.0,-1.5802528924290262,0.052173913043478404,0.05085841723349116
2020-10-23,9.71,9.83,9.47,9.49,12618000,5.0,138719.0,-1.8278269923923525,-0.01962809917355368,-0.019823288666649397
2020-10-26,9.72,9.97,9.6,9.95,23767300,3.0,218238.0,-1.655248684465797,0.048472075869335995,0.04733393854866508
2020-10-27,10.0,11.04,9.92,10.95,53695900,15.0,229933.0,-1.717452859943874,0.10050251256281406,0.09576690509200825
2020-10-28,10.66,10.985,10.1,10.85,30941700,14.0,238745.0,-1.7511539504087974,-0.0091324200913242,-0.00917437627604123
2020-10-29,10.9,11.1,10.56,10.75,20515700,7.0,196665.0,-1.9396546445732636,-0.009216589861751112,-0.009259325412796837
2020-10-30,10.61,10.68,9.85,10.13,19705500,0.0,108968.0,-1.8070065764319831,-0.057674418604651057,-0.05940443631307968
2020-11-02,10.23,10.57,10.23,10.54,11677800,7.0,191807.0,-1.679301332493231,0.040473840078973256,0.03967622485262412
2020-11-03,10.57,10.94,10.44,10.5,21652800,8.0,175281.0,-1.8601426595190809,-0.003795066413662118,-0.0038022859497384154
2020-11-04,10.82,10.92,10.55,10.72,15783400,0.0,175616.0,-1.23946197591414,0.020952380952381056,0.02073589847917834
2020-11-05,10.9,12.13,10.85,11.88,48560400,0.0,139676.0,-1.4104030192611332,0.10820895522388052,0.10274515829184283
2020-11-06,12.22,14.96,12.05,13.83,89977600,2.0,74832.0,-1.6602779124963802,0.16414141414141414,0.151983831742168
2020-11-09,14.96,15.9,14.11,14.67,60099000,2.0,182954.0,-1.2664564498919513,0.06073752711496749,0.05896444647822374
2020-11-10,14.99,15.01,13.18,14.0,38078700,2.0,162662.0,-1.3445209164069427,-0.045671438309475065,-0.04674726253963213
2020-11-11,14.57,15.97,14.4,15.96,47027900,0.0,175515.0,-1.3636848603600629,0.14000000000000012,0.1310282624064043
2020-11-12,16.66,17.06,14.41,14.58,97904000,3.0,127993.0,-1.3405994974171465,-0.08646616541353391,-0.09043486544115042
2020-11-13,14.49,16.0,14.49,15.8,76354800,0.0,41913.0,-1.5648217423945705,0.08367626886145407,0.0803592134524087
2020-11-16,15.96,16.1,15.01,15.93,65326000,4.0,152522.0,-1.3791052606644627,0.008227848101265867,0.008194183889036033
2020-11-17,16.29,18.75,16.18,17.85,116618500,4.0,122349.0,-1.3764606643217638,0.12052730696798508,0.1137993843036913
2020-11-18,18.28,19.25,17.54,17.9,89957900,7.0,412820.0,-1.4160296406874973,0.0028011204481790397,0.0027972046210607004
2020-11-19,18.5,18.98,17.96,18.98,56225400,12.0,451298.0,-1.4692647562868817,0.060335195530726304,0.0585850803350727
2020-11-20,19.03,19.66,18.0,18.15,72104000,14.0,424366.0,-1.3946796276176168,-0.04373024236037948,-0.04471523247092213
2020-11-23,18.63,21.45,18.57,21.04,84716300,11.0,416523.0,-1.2265302878999138,0.15922865013774112,0.14775482715864952
2020-11-24,22.35,24.27,20.63,23.82,115468800,12.0,455840.0,-1.1836116055859642,0.13212927756653992,0.12410017605764478
2020-11-25,23.96,29.75,23.69,29.05,202563700,38.0,510461.0,-1.441028930411668,0.21956339210747267,0.19849291937076652
2020-11-27,31.19,33.5,26.12,27.66,207834000,18.0,343566.0,-1.354213054274345,-0.04784853700516356,-0.04903115706130823
2020-11-30,28.24,30.15,24.11,27.11,137243000,40.0,403186.0,-1.4070952841671365,-0.01988430947216202,-0.02008466272603826
2020-12-01,28.09,28.14,24.45,25.67,84050000,45.0,395477.0,-1.3580093553939268,-0.05311693102176307,-0.054579668627524836
2020-12-02,22.24,23.4,21.15,22.51,149062100,22.0,411826.0,-1.228032166528452,-0.12310089598753404,-0.13136333996440808
2020-12-03,23.55,25.62,23.5,24.03,85634300,8.0,412683.0,-1.327426989267789,0.06752554420257662,0.06534339482973639
2020-12-04,24.88,25.24,23.51,23.85,56044100,8.0,393907.0,-1.346947013377974,-0.0074906367041198685,-0.007518832414027177
2020-12-07,24.44,29.0,24.44,28.94,118463700,7.0,351275.0,-1.2683210699756915,0.21341719077568122,0.1934405038689877
2020-12-08,30.63,31.24,27.25,28.59,124754300,1.0,394076.0,-1.1140717779252227,-0.012093987560469976,-0.012167714869117496
2020-12-09,28.68,28.85,25.33,26.63,79634700,1.0,387702.0,-1.2026489899615929,-0.06855543896467298,-0.07101860650837954
